Date,Item_Name,Category,Units_Sold,Unit_Cost,Sales_Price,Waste_Qty,Daily_Revenue,Daily_Cost,Net_Profit
2026-02-09,Craft Beer,Beverage,20,45,180,4,3600,1080,2520
2026-02-09,Caesar Salad,Appetizer,22,60,250,2,5500,1440,4060
2026-02-09,Red Wine (Glass),Beverage,30,80,320,3,9600,2640,6960
2026-02-10,Wagyu Burger,Main Course,28,150,450,3,12600,4650,7950
2026-02-10,Truffle Pasta,Main Course,18,120,380,4,6840,2640,4200
2026-02-10,Craft Beer,Beverage,39,45,180,3,7020,1890,5130
2026-02-10,Caesar Salad,Appetizer,35,60,250,1,8750,2160,6590
2026-02-10,Red Wine (Glass),Beverage,23,80,320,4,7360,2160,5200
2026-02-11,Wagyu Burger,Main Course,23,150,450,3,10350,3900,6450
2026-02-11,Truffle Pasta,Main Course,32,120,380,0,12160,3840,8320
2026-02-11,Craft Beer,Beverage,35,45,180,4,6300,1755,4545
2026-02-11,Caesar Salad,Appetizer,27,60,250,1,6750,1680,5070
2026-02-11,Red Wine (Glass),Beverage,33,80,320,3,10560,2880,7680
2026-02-12,Wagyu Burger,Main Course,21,150,450,4,9450,3750,5700
2026-02-12,Truffle Pasta,Main Course,21,120,380,0,7980,2520,5460
2026-02-12,Craft Beer,Beverage,35,45,180,4,6300,1755,4545
2026-02-12,Caesar Salad,Appetizer,29,60,250,3,7250,1920,5330
2026-02-12,Red Wine (Glass),Beverage,22,80,320,1,7040,1840,5200
2026-02-13,Wagyu Burger,Main Course,54,150,450,1,24300,8250,16050
2026-02-13,Truffle Pasta,Main Course,54,120,380,4,20520,6960,13560
2026-02-13,Craft Beer,Beverage,64,45,180,3,11520,3015,8505
2026-02-13,Caesar Salad,Appetizer,70,60,250,3,17500,4380,13120
2026-02-13,Red Wine (Glass),Beverage,32,80,320,2,10240,2720,7520
2026-02-14,Wagyu Burger,Main Course,66,150,450,2,29700,10200,19500
2026-02-14,Truffle Pasta,Main Course,48,120,380,4,18240,6240,12000
2026-02-14,Craft Beer,Beverage,64,45,180,2,11520,2970,8550
2026-02-14,Caesar Salad,Appetizer,30,60,250,4,7500,2040,5460
2026-02-14,Red Wine (Glass),Beverage,70,80,320,4,22400,5920,16480
2026-02-15,Wagyu Burger,Main Course,45,150,450,1,20250,6900,13350
2026-02-15,Truffle Pasta,Main Course,59,120,380,1,22420,7200,15220
2026-02-15,Craft Beer,Beverage,30,45,180,0,5400,1350,4050
2026-02-15,Caesar Salad,Appetizer,43,60,250,0,10750,2580,8170
2026-02-15,Red Wine (Glass),Beverage,46,80,320,1,14720,3760,10960
2026-02-16,Wagyu Burger,Main Course,38,150,450,3,17100,6150,10950
2026-02-16,Truffle Pasta,Main Course,38,120,380,0,14440,4560,9880
2026-02-16,Craft Beer,Beverage,20,45,180,4,3600,1080,2520
2026-02-16,Caesar Salad,Appetizer,37,60,250,3,9250,2400,6850
2026-02-16,Red Wine (Glass),Beverage,15,80,320,1,4800,1280,3520
2026-02-17,Wagyu Burger,Main Course,17,150,450,2,7650,2850,4800
2026-02-17,Truffle Pasta,Main Course,36,120,380,3,13680,4680,9000
2026-02-17,Craft Beer,Beverage,35,45,180,1,6300,1620,4680
2026-02-17,Caesar Salad,Appetizer,29,60,250,2,7250,1860,5390
2026-02-17,Red Wine (Glass),Beverage,38,80,320,4,12160,3360,8800
2026-02-18,Wagyu Burger,Main Course,26,150,450,3,11700,4350,7350
2026-02-18,Truffle Pasta,Main Course,30,120,380,0,11400,3600,7800
2026-02-18,Craft Beer,Beverage,33,45,180,1,5940,1530,4410
2026-02-18,Caesar Salad,Appetizer,35,60,250,3,8750,2280,6470
2026-02-18,Red Wine (Glass),Beverage,31,80,320,0,9920,2480,7440
2026-02-19,Wagyu Burger,Main Course,37,150,450,1,16650,5700,10950
2026-02-19,Truffle Pasta,Main Course,36,120,380,4,13680,4800,8880
2026-02-19,Craft Beer,Beverage,33,45,180,2,5940,1575,4365
2026-02-19,Caesar Salad,Appetizer,20,60,250,0,5000,1200,3800
2026-02-19,Red Wine (Glass),Beverage,39,80,320,0,12480,3120,9360
2026-02-20,Wagyu Burger,Main Course,28,150,450,2,12600,4500,8100
2026-02-20,Truffle Pasta,Main Course,34,120,380,3,12920,4440,8480
2026-02-20,Craft Beer,Beverage,57,45,180,0,10260,2565,7695
2026-02-20,Caesar Salad,Appetizer,54,60,250,2,13500,3360,10140
2026-02-20,Red Wine (Glass),Beverage,59,80,320,0,18880,4720,14160
2026-02-21,Wagyu Burger,Main Course,28,150,450,3,12600,4650,7950
2026-02-21,Truffle Pasta,Main Course,30,120,380,1,11400,3720,7680
2026-02-21,Craft Beer,Beverage,63,45,180,0,11340,2835,8505
2026-02-21,Caesar Salad,Appetizer,34,60,250,0,8500,2040,6460
2026-02-21,Red Wine (Glass),Beverage,48,80,320,2,15360,4000,11360
2026-02-22,Wagyu Burger,Main Course,34,150,450,1,15300,5250,10050
2026-02-22,Truffle Pasta,Main Course,37,120,380,2,14060,4680,9380
2026-02-22,Craft Beer,Beverage,70,45,180,3,12600,3285,9315
2026-02-22,Caesar Salad,Appetizer,61,60,250,3,15250,3840,11410
2026-02-22,Red Wine (Glass),Beverage,52,80,320,4,16640,4480,12160
2026-02-23,Wagyu Burger,Main Course,33,150,450,4,14850,5550,9300
2026-02-23,Truffle Pasta,Main Course,38,120,380,0,14440,4560,9880
2026-02-23,Craft Beer,Beverage,39,45,180,3,7020,1890,5130
2026-02-23,Caesar Salad,Appetizer,26,60,250,1,6500,1620,4880
2026-02-23,Red Wine (Glass),Beverage,39,80,320,3,12480,3360,9120
2026-02-24,Wagyu Burger,Main Course,18,150,450,0,8100,2700,5400
2026-02-24,Truffle Pasta,Main Course,31,120,380,1,11780,3840,7940
2026-02-24,Craft Beer,Beverage,17,45,180,0,3060,765,2295
2026-02-24,Caesar Salad,Appetizer,19,60,250,4,4750,1380,3370
2026-02-24,Red Wine (Glass),Beverage,23,80,320,2,7360,2000,5360
2026-02-25,Wagyu Burger,Main Course,15,150,450,4,6750,2850,3900
2026-02-25,Truffle Pasta,Main Course,31,120,380,4,11780,4200,7580
2026-02-25,Craft Beer,Beverage,26,45,180,4,4680,1350,3330
2026-02-25,Caesar Salad,Appetizer,33,60,250,0,8250,1980,6270
2026-02-25,Red Wine (Glass),Beverage,29,80,320,1,9280,2400,6880
2026-02-26,Wagyu Burger,Main Course,27,150,450,2,12150,4350,7800
2026-02-26,Truffle Pasta,Main Course,21,120,380,4,7980,3000,4980
2026-02-26,Craft Beer,Beverage,24,45,180,1,4320,1125,3195
2026-02-26,Caesar Salad,Appetizer,32,60,250,1,8000,1980,6020
2026-02-26,Red Wine (Glass),Beverage,37,80,320,1,11840,3040,8800
2026-02-27,Wagyu Burger,Main Course,32,150,450,3,14400,5250,9150
2026-02-27,Truffle Pasta,Main Course,57,120,380,2,21660,7080,14580
2026-02-27,Craft Beer,Beverage,70,45,180,2,12600,3240,9360
2026-02-27,Caesar Salad,Appetizer,52,60,250,0,13000,3120,9880
2026-02-27,Red Wine (Glass),Beverage,61,80,320,2,19520,5040,14480
2026-02-28,Wagyu Burger,Main Course,70,150,450,1,31500,10650,20850
2026-02-28,Truffle Pasta,Main Course,32,120,380,2,12160,4080,8080
2026-02-28,Craft Beer,Beverage,48,45,180,2,8640,2250,6390
2026-02-28,Caesar Salad,Appetizer,41,60,250,0,10250,2460,7790
2026-02-28,Red Wine (Glass),Beverage,52,80,320,2,16640,4320,12320
2026-03-01,Wagyu Burger,Main Course,61,150,450,4,27450,9750,17700
2026-03-01,Truffle Pasta,Main Course,36,120,380,4,13680,4800,8880
2026-03-01,Craft Beer,Beverage,34,45,180,2,6120,1620,4500
2026-03-01,Caesar Salad,Appetizer,68,60,250,0,17000,4080,12920
2026-03-01,Red Wine (Glass),Beverage,30,80,320,3,9600,2640,6960
2026-03-02,Wagyu Burger,Main Course,25,150,450,0,11250,3750,7500
2026-03-02,Truffle Pasta,Main Course,26,120,380,3,9880,3480,6400
2026-03-02,Craft Beer,Beverage,38,45,180,0,6840,1710,5130
2026-03-02,Caesar Salad,Appetizer,38,60,250,1,9500,2340,7160
2026-03-02,Red Wine (Glass),Beverage,37,80,320,4,11840,3280,8560
2026-03-03,Wagyu Burger,Main Course,26,150,450,3,11700,4350,7350
2026-03-03,Truffle Pasta,Main Course,38,120,380,2,14440,4800,9640
2026-03-03,Craft Beer,Beverage,20,45,180,1,3600,945,2655
2026-03-03,Caesar Salad,Appetizer,29,60,250,4,7250,1980,5270
2026-03-03,Red Wine (Glass),Beverage,25,80,320,3,8000,2240,5760
2026-03-04,Wagyu Burger,Main Course,22,150,450,0,9900,3300,6600
2026-03-04,Truffle Pasta,Main Course,26,120,380,4,9880,3600,6280
2026-03-04,Craft Beer,Beverage,29,45,180,2,5220,1395,3825
2026-03-04,Caesar Salad,Appetizer,31,60,250,2,7750,1980,5770
2026-03-04,Red Wine (Glass),Beverage,26,80,320,1,8320,2160,6160
2026-03-05,Wagyu Burger,Main Course,17,150,450,4,7650,3150,4500
2026-03-05,Truffle Pasta,Main Course,35,120,380,1,13300,4320,8980
2026-03-05,Craft Beer,Beverage,36,45,180,2,6480,1710,4770
2026-03-05,Caesar Salad,Appetizer,19,60,250,3,4750,1320,3430
2026-03-05,Red Wine (Glass),Beverage,30,80,320,1,9600,2480,7120
2026-03-06,Wagyu Burger,Main Course,61,150,450,1,27450,9300,18150
2026-03-06,Truffle Pasta,Main Course,27,120,380,2,10260,3480,6780
2026-03-06,Craft Beer,Beverage,57,45,180,2,10260,2655,7605
2026-03-06,Caesar Salad,Appetizer,48,60,250,3,12000,3060,8940
2026-03-06,Red Wine (Glass),Beverage,66,80,320,0,21120,5280,15840
2026-03-07,Wagyu Burger,Main Course,27,150,450,3,12150,4500,7650
2026-03-07,Truffle Pasta,Main Course,70,120,380,3,26600,8760,17840
2026-03-07,Craft Beer,Beverage,41,45,180,4,7380,2025,5355
2026-03-07,Caesar Salad,Appetizer,30,60,250,2,7500,1920,5580
2026-03-07,Red Wine (Glass),Beverage,50,80,320,1,16000,4080,11920
2026-03-08,Wagyu Burger,Main Course,46,150,450,1,20700,7050,13650
2026-03-08,Truffle Pasta,Main Course,34,120,380,3,12920,4440,8480
2026-03-08,Craft Beer,Beverage,43,45,180,0,7740,1935,5805
2026-03-08,Caesar Salad,Appetizer,39,60,250,2,9750,2460,7290
2026-03-08,Red Wine (Glass),Beverage,57,80,320,1,18240,4640,13600
2026-03-09,Wagyu Burger,Main Course,25,150,450,3,11250,4200,7050
2026-03-09,Truffle Pasta,Main Course,31,120,380,1,11780,3840,7940
2026-03-09,Craft Beer,Beverage,39,45,180,0,7020,1755,5265
2026-03-09,Caesar Salad,Appetizer,23,60,250,1,5750,1440,4310
2026-03-09,Red Wine (Glass),Beverage,25,80,320,4,8000,2320,5680
2026-03-10,Wagyu Burger,Main Course,24,150,450,0,10800,3600,7200
2026-03-10,Truffle Pasta,Main Course,29,120,380,4,11020,3960,7060
2026-03-10,Craft Beer,Beverage,26,45,180,1,4680,1215,3465
2026-03-10,Caesar Salad,Appetizer,15,60,250,4,3750,1140,2610
2026-03-10,Red Wine (Glass),Beverage,23,80,320,3,7360,2080,5280
2026-03-11,Wagyu Burger,Main Course,33,150,450,1,14850,5100,9750
2026-03-11,Truffle Pasta,Main Course,25,120,380,4,9500,3480,6020
2026-03-11,Craft Beer,Beverage,27,45,180,2,4860,1305,3555
2026-03-11,Caesar Salad,Appetizer,22,60,250,3,5500,1500,4000
2026-03-11,Red Wine (Glass),Beverage,16,80,320,3,5120,1520,3600
2026-03-12,Wagyu Burger,Main Course,23,150,450,3,10350,3900,6450
2026-03-12,Truffle Pasta,Main Course,19,120,380,0,7220,2280,4940
2026-03-12,Craft Beer,Beverage,19,45,180,0,3420,855,2565
2026-03-12,Caesar Salad,Appetizer,18,60,250,2,4500,1200,3300
2026-03-12,Red Wine (Glass),Beverage,16,80,320,2,5120,1440,3680
2026-03-13,Wagyu Burger,Main Course,28,150,450,3,12600,4650,7950
2026-03-13,Truffle Pasta,Main Course,64,120,380,0,24320,7680,16640
2026-03-13,Craft Beer,Beverage,55,45,180,1,9900,2520,7380
2026-03-13,Caesar Salad,Appetizer,27,60,250,3,6750,1800,4950
2026-03-13,Red Wine (Glass),Beverage,28,80,320,4,8960,2560,6400
2026-03-14,Wagyu Burger,Main Course,43,150,450,4,19350,7050,12300
2026-03-14,Truffle Pasta,Main Course,41,120,380,0,15580,4920,10660
2026-03-14,Craft Beer,Beverage,48,45,180,0,8640,2160,6480
2026-03-14,Caesar Salad,Appetizer,50,60,250,2,12500,3120,9380
2026-03-14,Red Wine (Glass),Beverage,46,80,320,2,14720,3840,10880
2026-03-15,Wagyu Burger,Main Course,34,150,450,3,15300,5550,9750
2026-03-15,Truffle Pasta,Main Course,66,120,380,4,25080,8400,16680
2026-03-15,Craft Beer,Beverage,59,45,180,3,10620,2790,7830
2026-03-15,Caesar Salad,Appetizer,28,60,250,0,7000,1680,5320
2026-03-15,Red Wine (Glass),Beverage,39,80,320,4,12480,3440,9040
2026-03-16,Wagyu Burger,Main Course,17,150,450,2,7650,2850,4800
2026-03-16,Truffle Pasta,Main Course,33,120,380,3,12540,4320,8220
2026-03-16,Craft Beer,Beverage,20,45,180,4,3600,1080,2520
2026-03-16,Caesar Salad,Appetizer,16,60,250,4,4000,1200,2800
2026-03-16,Red Wine (Glass),Beverage,22,80,320,4,7040,2080,4960
2026-03-17,Wagyu Burger,Main Course,23,150,450,4,10350,4050,6300
2026-03-17,Truffle Pasta,Main Course,23,120,380,0,8740,2760,5980
2026-03-17,Craft Beer,Beverage,22,45,180,0,3960,990,2970
2026-03-17,Caesar Salad,Appetizer,28,60,250,1,7000,1740,5260
2026-03-17,Red Wine (Glass),Beverage,23,80,320,2,7360,2000,5360
2026-03-18,Wagyu Burger,Main Course,24,150,450,4,10800,4200,6600
2026-03-18,Truffle Pasta,Main Course,15,120,380,4,5700,2280,3420
2026-03-18,Craft Beer,Beverage,15,45,180,0,2700,675,2025
2026-03-18,Caesar Salad,Appetizer,35,60,250,0,8750,2100,6650
2026-03-18,Red Wine (Glass),Beverage,37,80,320,1,11840,3040,8800
2026-03-19,Wagyu Burger,Main Course,18,150,450,3,8100,3150,4950
2026-03-19,Truffle Pasta,Main Course,18,120,380,4,6840,2640,4200
2026-03-19,Craft Beer,Beverage,26,45,180,4,4680,1350,3330
2026-03-19,Caesar Salad,Appetizer,27,60,250,0,6750,1620,5130
2026-03-19,Red Wine (Glass),Beverage,28,80,320,2,8960,2400,6560
2026-03-20,Wagyu Burger,Main Course,41,150,450,0,18450,6150,12300
2026-03-20,Truffle Pasta,Main Course,43,120,380,2,16340,5400,10940
2026-03-20,Craft Beer,Beverage,66,45,180,1,11880,3015,8865
2026-03-20,Caesar Salad,Appetizer,59,60,250,3,14750,3720,11030
2026-03-20,Red Wine (Glass),Beverage,52,80,320,2,16640,4320,12320
2026-03-21,Wagyu Burger,Main Course,41,150,450,3,18450,6600,11850
2026-03-21,Truffle Pasta,Main Course,59,120,380,4,22420,7560,14860
2026-03-21,Craft Beer,Beverage,48,45,180,1,8640,2205,6435
2026-03-21,Caesar Salad,Appetizer,63,60,250,3,15750,3960,11790
2026-03-21,Red Wine (Glass),Beverage,54,80,320,3,17280,4560,12720
2026-03-22,Wagyu Burger,Main Course,43,150,450,2,19350,6750,12600
2026-03-22,Truffle Pasta,Main Course,70,120,380,4,26600,8880,17720
2026-03-22,Craft Beer,Beverage,39,45,180,2,7020,1845,5175
2026-03-22,Caesar Salad,Appetizer,63,60,250,1,15750,3840,11910
2026-03-22,Red Wine (Glass),Beverage,68,80,320,4,21760,5760,16000
2026-03-23,Wagyu Burger,Main Course,17,150,450,3,7650,3000,4650
2026-03-23,Truffle Pasta,Main Course,22,120,380,2,8360,2880,5480
2026-03-23,Craft Beer,Beverage,16,45,180,4,2880,900,1980
2026-03-23,Caesar Salad,Appetizer,24,60,250,0,6000,1440,4560
2026-03-23,Red Wine (Glass),Beverage,23,80,320,3,7360,2080,5280
2026-03-24,Wagyu Burger,Main Course,21,150,450,2,9450,3450,6000
2026-03-24,Truffle Pasta,Main Course,36,120,380,4,13680,4800,8880
2026-03-24,Craft Beer,Beverage,32,45,180,1,5760,1485,4275
2026-03-24,Caesar Salad,Appetizer,24,60,250,2,6000,1560,4440
2026-03-24,Red Wine (Glass),Beverage,28,80,320,2,8960,2400,6560
2026-03-25,Wagyu Burger,Main Course,25,150,450,1,11250,3900,7350
2026-03-25,Truffle Pasta,Main Course,21,120,380,2,7980,2760,5220
2026-03-25,Craft Beer,Beverage,32,45,180,2,5760,1530,4230
2026-03-25,Caesar Salad,Appetizer,23,60,250,1,5750,1440,4310
2026-03-25,Red Wine (Glass),Beverage,39,80,320,4,12480,3440,9040
2026-03-26,Wagyu Burger,Main Course,32,150,450,0,14400,4800,9600
2026-03-26,Truffle Pasta,Main Course,31,120,380,3,11780,4080,7700
2026-03-26,Craft Beer,Beverage,32,45,180,2,5760,1530,4230
2026-03-26,Caesar Salad,Appetizer,32,60,250,2,8000,2040,5960
2026-03-26,Red Wine (Glass),Beverage,38,80,320,0,12160,3040,9120
2026-03-27,Wagyu Burger,Main Course,37,150,450,4,16650,6150,10500
2026-03-27,Truffle Pasta,Main Course,36,120,380,0,13680,4320,9360
2026-03-27,Craft Beer,Beverage,50,45,180,2,9000,2340,6660
2026-03-27,Caesar Salad,Appetizer,66,60,250,3,16500,4140,12360
2026-03-27,Red Wine (Glass),Beverage,27,80,320,3,8640,2400,6240
2026-03-28,Wagyu Burger,Main Course,64,150,450,3,28800,10050,18750
2026-03-28,Truffle Pasta,Main Course,34,120,380,3,12920,4440,8480
2026-03-28,Craft Beer,Beverage,46,45,180,3,8280,2205,6075
2026-03-28,Caesar Salad,Appetizer,27,60,250,4,6750,1860,4890
2026-03-28,Red Wine (Glass),Beverage,39,80,320,3,12480,3360,9120
2026-03-29,Wagyu Burger,Main Course,64,150,450,2,28800,9900,18900
2026-03-29,Truffle Pasta,Main Course,32,120,380,4,12160,4320,7840
2026-03-29,Craft Beer,Beverage,48,45,180,3,8640,2295,6345
2026-03-29,Caesar Salad,Appetizer,45,60,250,1,11250,2760,8490
2026-03-29,Red Wine (Glass),Beverage,64,80,320,3,20480,5360,15120
2026-03-30,Wagyu Burger,Main Course,18,150,450,3,8100,3150,4950
2026-03-30,Truffle Pasta,Main Course,33,120,380,3,12540,4320,8220
2026-03-30,Craft Beer,Beverage,38,45,180,2,6840,1800,5040
2026-03-30,Caesar Salad,Appetizer,16,60,250,0,4000,960,3040
2026-03-30,Red Wine (Glass),Beverage,17,80,320,3,5440,1600,3840
2026-03-31,Wagyu Burger,Main Course,16,150,450,4,7200,3000,4200
2026-03-31,Truffle Pasta,Main Course,17,120,380,0,6460,2040,4420
2026-03-31,Craft Beer,Beverage,39,45,180,2,7020,1845,5175
2026-03-31,Caesar Salad,Appetizer,22,60,250,4,5500,1560,3940
2026-03-31,Red Wine (Glass),Beverage,18,80,320,2,5760,1600,4160
2026-04-01,Wagyu Burger,Main Course,37,150,450,3,16650,6000,10650
2026-04-01,Truffle Pasta,Main Course,30,120,380,1,11400,3720,7680
2026-04-01,Craft Beer,Beverage,26,45,180,2,4680,1260,3420
2026-04-01,Caesar Salad,Appetizer,39,60,250,3,9750,2520,7230
2026-04-01,Red Wine (Glass),Beverage,19,80,320,0,6080,1520,4560
2026-04-02,Wagyu Burger,Main Course,39,150,450,1,17550,6000,11550
2026-04-02,Truffle Pasta,Main Course,28,120,380,0,10640,3360,7280
2026-04-02,Craft Beer,Beverage,23,45,180,2,4140,1125,3015
2026-04-02,Caesar Salad,Appetizer,33,60,250,2,8250,2100,6150
2026-04-02,Red Wine (Glass),Beverage,30,80,320,0,9600,2400,7200
2026-04-03,Wagyu Burger,Main Course,68,150,450,3,30600,10650,19950
2026-04-03,Truffle Pasta,Main Course,48,120,380,2,18240,6000,12240
2026-04-03,Craft Beer,Beverage,30,45,180,3,5400,1485,3915
2026-04-03,Caesar Salad,Appetizer,45,60,250,3,11250,2880,8370
2026-04-03,Red Wine (Glass),Beverage,32,80,320,2,10240,2720,7520
2026-04-04,Wagyu Burger,Main Course,68,150,450,3,30600,10650,19950
2026-04-04,Truffle Pasta,Main Course,34,120,380,2,12920,4320,8600
2026-04-04,Craft Beer,Beverage,64,45,180,1,11520,2925,8595
2026-04-04,Caesar Salad,Appetizer,66,60,250,3,16500,4140,12360
2026-04-04,Red Wine (Glass),Beverage,36,80,320,3,11520,3120,8400
2026-04-05,Wagyu Burger,Main Course,34,150,450,4,15300,5700,9600
2026-04-05,Truffle Pasta,Main Course,45,120,380,0,17100,5400,11700
2026-04-05,Craft Beer,Beverage,55,45,180,3,9900,2610,7290
2026-04-05,Caesar Salad,Appetizer,66,60,250,3,16500,4140,12360
2026-04-05,Red Wine (Glass),Beverage,28,80,320,0,8960,2240,6720
2026-04-06,Wagyu Burger,Main Course,25,150,450,2,11250,4050,7200
2026-04-06,Truffle Pasta,Main Course,24,120,380,4,9120,3360,5760
2026-04-06,Craft Beer,Beverage,18,45,180,3,3240,945,2295
2026-04-06,Caesar Salad,Appetizer,36,60,250,0,9000,2160,6840
2026-04-06,Red Wine (Glass),Beverage,26,80,320,0,8320,2080,6240
2026-04-07,Wagyu Burger,Main Course,20,150,450,2,9000,3300,5700
2026-04-07,Truffle Pasta,Main Course,28,120,380,0,10640,3360,7280
2026-04-07,Craft Beer,Beverage,16,45,180,0,2880,720,2160
2026-04-07,Caesar Salad,Appetizer,32,60,250,3,8000,2100,5900
2026-04-07,Red Wine (Glass),Beverage,29,80,320,2,9280,2480,6800
2026-04-08,Wagyu Burger,Main Course,38,150,450,0,17100,5700,11400
2026-04-08,Truffle Pasta,Main Course,24,120,380,1,9120,3000,6120
2026-04-08,Craft Beer,Beverage,16,45,180,3,2880,855,2025
2026-04-08,Caesar Salad,Appetizer,15,60,250,2,3750,1020,2730
2026-04-08,Red Wine (Glass),Beverage,33,80,320,2,10560,2800,7760
2026-04-09,Wagyu Burger,Main Course,31,150,450,1,13950,4800,9150
2026-04-09,Truffle Pasta,Main Course,29,120,380,4,11020,3960,7060
2026-04-09,Craft Beer,Beverage,17,45,180,0,3060,765,2295
2026-04-09,Caesar Salad,Appetizer,26,60,250,1,6500,1620,4880
2026-04-09,Red Wine (Glass),Beverage,17,80,320,3,5440,1600,3840
2026-04-10,Wagyu Burger,Main Course,45,150,450,3,20250,7200,13050
2026-04-10,Truffle Pasta,Main Course,27,120,380,4,10260,3720,6540
2026-04-10,Craft Beer,Beverage,48,45,180,4,8640,2340,6300
2026-04-10,Caesar Salad,Appetizer,55,60,250,0,13750,3300,10450
2026-04-10,Red Wine (Glass),Beverage,28,80,320,2,8960,2400,6560
2026-04-11,Wagyu Burger,Main Course,57,150,450,3,25650,9000,16650
2026-04-11,Truffle Pasta,Main Course,36,120,380,4,13680,4800,8880
2026-04-11,Craft Beer,Beverage,68,45,180,2,12240,3150,9090
2026-04-11,Caesar Salad,Appetizer,27,60,250,2,6750,1740,5010
2026-04-11,Red Wine (Glass),Beverage,43,80,320,1,13760,3520,10240
2026-04-12,Wagyu Burger,Main Course,32,150,450,2,14400,5100,9300
2026-04-12,Truffle Pasta,Main Course,64,120,380,1,24320,7800,16520
2026-04-12,Craft Beer,Beverage,43,45,180,0,7740,1935,5805
2026-04-12,Caesar Salad,Appetizer,27,60,250,3,6750,1800,4950
2026-04-12,Red Wine (Glass),Beverage,39,80,320,2,12480,3280,9200
2026-04-13,Wagyu Burger,Main Course,25,150,450,1,11250,3900,7350
2026-04-13,Truffle Pasta,Main Course,21,120,380,4,7980,3000,4980
2026-04-13,Craft Beer,Beverage,33,45,180,1,5940,1530,4410
2026-04-13,Caesar Salad,Appetizer,22,60,250,4,5500,1560,3940
2026-04-13,Red Wine (Glass),Beverage,24,80,320,1,7680,2000,5680
2026-04-14,Wagyu Burger,Main Course,22,150,450,2,9900,3600,6300
2026-04-14,Truffle Pasta,Main Course,21,120,380,4,7980,3000,4980
2026-04-14,Craft Beer,Beverage,32,45,180,2,5760,1530,4230
2026-04-14,Caesar Salad,Appetizer,29,60,250,4,7250,1980,5270
2026-04-14,Red Wine (Glass),Beverage,18,80,320,3,5760,1680,4080
2026-04-15,Wagyu Burger,Main Course,34,150,450,1,15300,5250,10050
2026-04-15,Truffle Pasta,Main Course,26,120,380,2,9880,3360,6520
2026-04-15,Craft Beer,Beverage,30,45,180,1,5400,1395,4005
2026-04-15,Caesar Salad,Appetizer,28,60,250,0,7000,1680,5320
2026-04-15,Red Wine (Glass),Beverage,39,80,320,1,12480,3200,9280
2026-04-16,Wagyu Burger,Main Course,34,150,450,2,15300,5400,9900
2026-04-16,Truffle Pasta,Main Course,39,120,380,2,14820,4920,9900
2026-04-16,Craft Beer,Beverage,34,45,180,2,6120,1620,4500
2026-04-16,Caesar Salad,Appetizer,32,60,250,3,8000,2100,5900
2026-04-16,Red Wine (Glass),Beverage,32,80,320,2,10240,2720,7520
2026-04-17,Wagyu Burger,Main Course,41,150,450,2,18450,6450,12000
2026-04-17,Truffle Pasta,Main Course,63,120,380,0,23940,7560,16380
2026-04-17,Craft Beer,Beverage,37,45,180,0,6660,1665,4995
2026-04-17,Caesar Salad,Appetizer,46,60,250,3,11500,2940,8560
2026-04-17,Red Wine (Glass),Beverage,52,80,320,0,16640,4160,12480
2026-04-18,Wagyu Burger,Main Course,52,150,450,3,23400,8250,15150
2026-04-18,Truffle Pasta,Main Course,32,120,380,3,12160,4200,7960
